Year,Attacks,BombingExplosion,Assassination,Armed_Assault,Infrastructure_Attack,Kidnapping,Unknown,Unarmed_Assault,Hostage_Taking,Hijacking,Group
1970,10,2,0,7,0,1,0,0,0,0,All
1970,7,2,0,5,0,0,0,0,0,0,Irish Republican Army (IRA)
1970,1,0,0,0,0,1,0,0,0,0,Basque Fatherland and Freedom (ETA)
1970,0,0,0,0,0,0,0,0,0,0,Corsican National Liberation Front (FLNC)
1970,0,0,0,0,0,0,0,0,0,0,Donetsk People's Republic
1970,1,0,0,1,0,0,0,0,0,0,Protestant extremists
1970,0,0,0,0,0,0,0,0,0,0,Chechen Rebels
1970,1,0,0,1,0,0,0,0,0,0,Ulster Volunteer Force (UVF)
1970,0,0,0,0,0,0,0,0,0,0,Ulster Freedom Fighters (UFF)
1970,0,0,0,0,0,0,0,0,0,0,Neo-Nazi extremists
1970,0,0,0,0,0,0,0,0,0,0,Red Brigades
1970,0,0,0,0,0,0,0,0,0,0,First of October Antifascist Resistance Group (GRAPO)
1970,50,21,0,10,12,1,0,1,0,5,Other
1971,71,20,46,1,2,2,0,0,0,0,All
1971,60,14,45,1,0,0,0,0,0,0,Irish Republican Army (IRA)
1971,4,1,0,0,1,2,0,0,0,0,Basque Fatherland and Freedom (ETA)
1971,0,0,0,0,0,0,0,0,0,0,Corsican National Liberation Front (FLNC)
1971,0,0,0,0,0,0,0,0,0,0,Donetsk People's Republic
1971,4,2,1,0,1,0,0,0,0,0,Protestant extremists
1971,0,0,0,0,0,0,0,0,0,0,Chechen Rebels
1971,3,3,0,0,0,0,0,0,0,0,Ulster Volunteer Force (UVF)
1971,0,0,0,0,0,0,0,0,0,0,Ulster Freedom Fighters (UFF)
1971,0,0,0,0,0,0,0,0,0,0,Neo-Nazi extremists
1971,0,0,0,0,0,0,0,0,0,0,Red Brigades
1971,0,0,0,0,0,0,0,0,0,0,First of October Antifascist Resistance Group (GRAPO)
1971,57,30,13,4,8,1,0,0,0,1,Other
1972,261,56,155,41,1,8,0,0,0,0,All
1972,162,45,77,32,1,7,0,0,0,0,Irish Republican Army (IRA)
1972,4,0,2,1,0,1,0,0,0,0,Basque Fatherland and Freedom (ETA)
1972,0,0,0,0,0,0,0,0,0,0,Corsican National Liberation Front (FLNC)
1972,0,0,0,0,0,0,0,0,0,0,Donetsk People's Republic
1972,48,4,39,5,0,0,0,0,0,0,Protestant extremists
1972,0,0,0,0,0,0,0,0,0,0,Chechen Rebels
1972,23,5,17,1,0,0,0,0,0,0,Ulster Volunteer Force (UVF)
1972,24,2,20,2,0,0,0,0,0,0,Ulster Freedom Fighters (UFF)
1972,0,0,0,0,0,0,0,0,0,0,Neo-Nazi extremists
1972,0,0,0,0,0,0,0,0,0,0,Red Brigades
1972,0,0,0,0,0,0,0,0,0,0,First of October Antifascist Resistance Group (GRAPO)
1972,92,51,25,9,2,1,1,0,0,3,Other
1973,185,48,121,7,3,4,0,0,0,2,All
1973,108,36,61,4,3,2,0,0,0,2,Irish Republican Army (IRA)
1973,3,1,1,0,0,1,0,0,0,0,Basque Fatherland and Freedom (ETA)
1973,0,0,0,0,0,0,0,0,0,0,Corsican National Liberation Front (FLNC)
1973,0,0,0,0,0,0,0,0,0,0,Donetsk People's Republic
1973,34,2,30,1,0,1,0,0,0,0,Protestant extremists
1973,0,0,0,0,0,0,0,0,0,0,Chechen Rebels
1973,26,8,16,2,0,0,0,0,0,0,Ulster Volunteer Force (UVF)
1973,14,1,13,0,0,0,0,0,0,0,Ulster Freedom Fighters (UFF)
1973,0,0,0,0,0,0,0,0,0,0,Neo-Nazi extremists
1973,0,0,0,0,0,0,0,0,0,0,Red Brigades
1973,0,0,0,0,0,0,0,0,0,0,First of October Antifascist Resistance Group (GRAPO)
1973,104,41,16,19,21,0,0,2,3,2,Other
1974,200,65,114,15,3,2,0,1,0,0,All
1974,112,49,58,4,0,1,0,0,0,0,Irish Republican Army (IRA)
1974,10,1,6,3,0,0,0,0,0,0,Basque Fatherland and Freedom (ETA)
1974,1,1,0,0,0,0,0,0,0,0,Corsican National Liberation Front (FLNC)
1974,0,0,0,0,0,0,0,0,0,0,Donetsk People's Republic
1974,24,2,20,2,0,0,0,0,0,0,Protestant extremists
1974,0,0,0,0,0,0,0,0,0,0,Chechen Rebels
1974,30,10,17,3,0,0,0,0,0,0,Ulster Volunteer Force (UVF)
1974,19,2,13,3,0,0,0,1,0,0,Ulster Freedom Fighters (UFF)
1974,0,0,0,0,0,0,0,0,0,0,Neo-Nazi extremists
1974,4,0,0,0,3,1,0,0,0,0,Red Brigades
1974,0,0,0,0,0,0,0,0,0,0,First of October Antifascist Resistance Group (GRAPO)
1974,116,61,22,6,22,3,0,1,1,0,Other
1975,203,68,102,23,3,6,1,0,0,0,All
1975,75,33,33,4,0,4,1,0,0,0,Irish Republican Army (IRA)
1975,32,14,10,5,3,0,0,0,0,0,Basque Fatherland and Freedom (ETA)
1975,0,0,0,0,0,0,0,0,0,0,Corsican National Liberation Front (FLNC)
1975,0,0,0,0,0,0,0,0,0,0,Donetsk People's Republic
1975,35,7,25,2,0,1,0,0,0,0,Protestant extremists
1975,0,0,0,0,0,0,0,0,0,0,Chechen Rebels
1975,40,10,25,4,0,1,0,0,0,0,Ulster Volunteer Force (UVF)
1975,7,2,5,0,0,0,0,0,0,0,Ulster Freedom Fighters (UFF)
1975,0,0,0,0,0,0,0,0,0,0,Neo-Nazi extremists
1975,1,0,0,1,0,0,0,0,0,0,Red Brigades
1975,13,2,4,7,0,0,0,0,0,0,First of October Antifascist Resistance Group (GRAPO)
1975,229,96,47,27,53,1,0,0,5,0,Other
1976,234,62,125,28,6,8,1,0,4,0,All
1976,93,27,59,3,4,0,0,0,0,0,Irish Republican Army (IRA)
1976,16,2,9,1,0,4,0,0,0,0,Basque Fatherland and Freedom (ETA)
1976,2,1,0,0,0,0,0,0,1,0,Corsican National Liberation Front (FLNC)
1976,0,0,0,0,0,0,0,0,0,0,Donetsk People's Republic
1976,35,12,21,0,0,1,0,0,1,0,Protestant extremists
1976,0,0,0,0,0,0,0,0,0,0,Chechen Rebels
1976,25,3,14,8,0,0,0,0,0,0,Ulster Volunteer Force (UVF)
1976,20,0,18,1,0,0,1,0,0,0,Ulster Freedom Fighters (UFF)
1976,0,0,0,0,0,0,0,0,0,0,Neo-Nazi extremists
1976,22,4,4,8,2,2,0,0,2,0,Red Brigades
1976,21,13,0,7,0,1,0,0,0,0,First of October Antifascist Resistance Group (GRAPO)
1976,339,170,28,45,88,5,1,1,0,1,Other
1977,249,79,63,60,35,9,1,0,2,0,All
1977,109,22,35,24,28,0,0,0,0,0,Irish Republican Army (IRA)
1977,54,31,10,5,1,6,0,0,1,0,Basque Fatherland and Freedom (ETA)
1977,2,2,0,0,0,0,0,0,0,0,Corsican National Liberation Front (FLNC)
1977,0,0,0,0,0,0,0,0,0,0,Donetsk People's Republic
1977,4,0,2,2,0,0,0,0,0,0,Protestant extremists
1977,0,0,0,0,0,0,0,0,0,0,Chechen Rebels
1977,11,5,2,3,0,0,1,0,0,0,Ulster Volunteer Force (UVF)
1977,6,1,3,2,0,0,0,0,0,0,Ulster Freedom Fighters (UFF)
1977,0,0,0,0,0,0,0,0,0,0,Neo-Nazi extremists
1977,41,7,7,20,5,1,0,0,1,0,Red Brigades
1977,22,11,4,4,1,2,0,0,0,0,First of October Antifascist Resistance Group (GRAPO)
1977,517,229,30,124,111,12,4,0,4,3,Other
1978,303,113,77,76,11,13,4,1,8,0,All
1978,80,42,13,22,1,2,0,0,0,0,Irish Republican Army (IRA)
1978,129,38,47,22,8,7,4,0,3,0,Basque Fatherland and Freedom (ETA)
1978,12,12,0,0,0,0,0,0,0,0,Corsican National Liberation Front (FLNC)
1978,0,0,0,0,0,0,0,0,0,0,Donetsk People's Republic
1978,3,0,0,2,0,0,0,1,0,0,Protestant extremists
1978,0,0,0,0,0,0,0,0,0,0,Chechen Rebels
1978,5,2,1,2,0,0,0,0,0,0,Ulster Volunteer Force (UVF)
1978,1,0,0,1,0,0,0,0,0,0,Ulster Freedom Fighters (UFF)
1978,0,0,0,0,0,0,0,0,0,0,Neo-Nazi extremists
1978,55,14,12,23,2,3,0,0,1,0,Red Brigades
1978,18,5,4,4,0,1,0,0,4,0,First of October Antifascist Resistance Group (GRAPO)
1978,404,204,44,30,101,11,6,2,6,0,Other
1979,590,289,131,92,51,11,10,1,5,0,All
1979,206,91,44,30,33,2,6,0,0,0,Irish Republican Army (IRA)
1979,170,63,62,31,4,8,1,0,1,0,Basque Fatherland and Freedom (ETA)
1979,132,120,0,1,11,0,0,0,0,0,Corsican National Liberation Front (FLNC)
1979,0,0,0,0,0,0,0,0,0,0,Donetsk People's Republic
1979,11,2,2,6,0,1,0,0,0,0,Protestant extremists
1979,0,0,0,0,0,0,0,0,0,0,Chechen Rebels
1979,6,0,0,5,0,0,1,0,0,0,Ulster Volunteer Force (UVF)
1979,4,0,1,3,0,0,0,0,0,0,Ulster Freedom Fighters (UFF)
1979,2,1,1,0,0,0,0,0,0,0,Neo-Nazi extremists
1979,33,4,8,14,1,0,1,1,4,0,Red Brigades
1979,26,8,13,2,2,0,1,0,0,0,First of October Antifascist Resistance Group (GRAPO)
1979,426,211,70,38,56,30,13,3,3,2,Other
1980,274,103,99,37,18,12,4,0,1,0,All
1980,94,43,26,11,8,4,1,0,1,0,Irish Republican Army (IRA)
1980,124,42,53,19,2,6,2,0,0,0,Basque Fatherland and Freedom (ETA)
1980,8,8,0,0,0,0,0,0,0,0,Corsican National Liberation Front (FLNC)
1980,0,0,0,0,0,0,0,0,0,0,Donetsk People's Republic
1980,6,2,3,1,0,0,0,0,0,0,Protestant extremists
1980,0,0,0,0,0,0,0,0,0,0,Chechen Rebels
1980,4,0,2,2,0,0,0,0,0,0,Ulster Volunteer Force (UVF)
1980,5,2,0,2,0,0,1,0,0,0,Ulster Freedom Fighters (UFF)
1980,2,2,0,0,0,0,0,0,0,0,Neo-Nazi extremists
1980,24,2,13,1,6,2,0,0,0,0,Red Brigades
1980,7,2,2,1,2,0,0,0,0,0,First of October Antifascist Resistance Group (GRAPO)
1980,315,166,67,26,41,7,5,0,1,2,Other
1981,220,91,69,37,2,16,4,0,1,0,All
1981,103,43,36,17,2,4,0,0,1,0,Irish Republican Army (IRA)
1981,66,34,15,7,0,8,2,0,0,0,Basque Fatherland and Freedom (ETA)
1981,12,12,0,0,0,0,0,0,0,0,Corsican National Liberation Front (FLNC)
1981,0,0,0,0,0,0,0,0,0,0,Donetsk People's Republic
1981,4,0,2,1,0,0,1,0,0,0,Protestant extremists
1981,0,0,0,0,0,0,0,0,0,0,Chechen Rebels
1981,3,0,2,1,0,0,0,0,0,0,Ulster Volunteer Force (UVF)
1981,7,0,4,3,0,0,0,0,0,0,Ulster Freedom Fighters (UFF)
1981,0,0,0,0,0,0,0,0,0,0,Neo-Nazi extremists
1981,20,2,7,6,0,4,1,0,0,0,Red Brigades
1981,5,0,3,2,0,0,0,0,0,0,First of October Antifascist Resistance Group (GRAPO)
1981,259,137,64,13,28,1,5,2,4,5,Other
1982,216,120,66,8,4,10,3,2,3,0,All
1982,56,24,24,3,0,1,1,0,3,0,Irish Republican Army (IRA)
1982,114,77,23,3,4,6,1,0,0,0,Basque Fatherland and Freedom (ETA)
1982,6,5,1,0,0,0,0,0,0,0,Corsican National Liberation Front (FLNC)
1982,0,0,0,0,0,0,0,0,0,0,Donetsk People's Republic
1982,10,0,9,0,0,1,0,0,0,0,Protestant extremists
1982,0,0,0,0,0,0,0,0,0,0,Chechen Rebels
1982,7,0,3,0,0,2,0,2,0,0,Ulster Volunteer Force (UVF)
1982,2,0,2,0,0,0,0,0,0,0,Ulster Freedom Fighters (UFF)
1982,0,0,0,0,0,0,0,0,0,0,Neo-Nazi extremists
1982,8,2,3,2,0,0,1,0,0,0,Red Brigades
1982,13,12,1,0,0,0,0,0,0,0,First of October Antifascist Resistance Group (GRAPO)
1982,188,135,34,8,6,0,1,0,4,0,Other
1983,267,139,73,17,26,8,4,0,0,0,All
1983,134,50,43,15,25,1,0,0,0,0,Irish Republican Army (IRA)
1983,98,69,16,2,1,6,4,0,0,0,Basque Fatherland and Freedom (ETA)
1983,20,20,0,0,0,0,0,0,0,0,Corsican National Liberation Front (FLNC)
1983,0,0,0,0,0,0,0,0,0,0,Donetsk People's Republic
1983,7,0,7,0,0,0,0,0,0,0,Protestant extremists
1983,0,0,0,0,0,0,0,0,0,0,Chechen Rebels
1983,1,0,1,0,0,0,0,0,0,0,Ulster Volunteer Force (UVF)
1983,1,0,1,0,0,0,0,0,0,0,Ulster Freedom Fighters (UFF)
1983,0,0,0,0,0,0,0,0,0,0,Neo-Nazi extremists
1983,1,0,1,0,0,0,0,0,0,0,Red Brigades
1983,5,0,4,0,0,1,0,0,0,0,First of October Antifascist Resistance Group (GRAPO)
1983,206,152,28,2,12,4,2,2,2,2,Other
1984,273,168,60,26,16,0,3,0,0,0,All
1984,118,63,28,19,7,0,1,0,0,0,Irish Republican Army (IRA)
1984,80,44,20,7,8,0,1,0,0,0,Basque Fatherland and Freedom (ETA)
1984,36,36,0,0,0,0,0,0,0,0,Corsican National Liberation Front (FLNC)
1984,0,0,0,0,0,0,0,0,0,0,Donetsk People's Republic
1984,2,0,2,0,0,0,0,0,0,0,Protestant extremists
1984,0,0,0,0,0,0,0,0,0,0,Chechen Rebels
1984,3,0,3,0,0,0,0,0,0,0,Ulster Volunteer Force (UVF)
1984,2,0,2,0,0,0,0,0,0,0,Ulster Freedom Fighters (UFF)
1984,2,0,0,0,1,0,1,0,0,0,Neo-Nazi extremists
1984,1,0,1,0,0,0,0,0,0,0,Red Brigades
1984,29,25,4,0,0,0,0,0,0,0,First of October Antifascist Resistance Group (GRAPO)
1984,268,190,47,12,13,2,0,1,1,2,Other
1985,200,127,58,10,1,3,1,0,0,0,All
1985,53,27,19,4,1,1,1,0,0,0,Irish Republican Army (IRA)
1985,93,51,34,6,0,2,0,0,0,0,Basque Fatherland and Freedom (ETA)
1985,49,49,0,0,0,0,0,0,0,0,Corsican National Liberation Front (FLNC)
1985,0,0,0,0,0,0,0,0,0,0,Donetsk People's Republic
1985,0,0,0,0,0,0,0,0,0,0,Protestant extremists
1985,0,0,0,0,0,0,0,0,0,0,Chechen Rebels
1985,2,0,2,0,0,0,0,0,0,0,Ulster Volunteer Force (UVF)
1985,2,0,2,0,0,0,0,0,0,0,Ulster Freedom Fighters (UFF)
1985,0,0,0,0,0,0,0,0,0,0,Neo-Nazi extremists
1985,1,0,1,0,0,0,0,0,0,0,Red Brigades
1985,0,0,0,0,0,0,0,0,0,0,First of October Antifascist Resistance Group (GRAPO)
1985,268,187,25,13,17,2,17,0,3,4,Other
1986,168,93,47,17,3,4,2,2,0,0,All
1986,45,20,22,1,0,1,1,0,0,0,Irish Republican Army (IRA)
1986,101,69,11,16,2,3,0,0,0,0,Basque Fatherland and Freedom (ETA)
1986,4,4,0,0,0,0,0,0,0,0,Corsican National Liberation Front (FLNC)
1986,0,0,0,0,0,0,0,0,0,0,Donetsk People's Republic
1986,9,0,7,0,0,0,1,1,0,0,Protestant extremists
1986,0,0,0,0,0,0,0,0,0,0,Chechen Rebels
1986,3,0,2,0,0,0,0,1,0,0,Ulster Volunteer Force (UVF)
1986,5,0,4,0,1,0,0,0,0,0,Ulster Freedom Fighters (UFF)
1986,0,0,0,0,0,0,0,0,0,0,Neo-Nazi extremists
1986,1,0,1,0,0,0,0,0,0,0,Red Brigades
1986,0,0,0,0,0,0,0,0,0,0,First of October Antifascist Resistance Group (GRAPO)
1986,286,211,20,11,37,1,5,1,0,0,Other
1987,196,98,65,9,20,4,0,0,0,0,All
1987,79,34,39,5,0,1,0,0,0,0,Irish Republican Army (IRA)
1987,65,55,5,2,0,3,0,0,0,0,Basque Fatherland and Freedom (ETA)
1987,16,9,3,2,2,0,0,0,0,0,Corsican National Liberation Front (FLNC)
1987,0,0,0,0,0,0,0,0,0,0,Donetsk People's Republic
1987,3,0,3,0,0,0,0,0,0,0,Protestant extremists
1987,0,0,0,0,0,0,0,0,0,0,Chechen Rebels
1987,2,0,2,0,0,0,0,0,0,0,Ulster Volunteer Force (UVF)
1987,30,0,12,0,18,0,0,0,0,0,Ulster Freedom Fighters (UFF)
1987,0,0,0,0,0,0,0,0,0,0,Neo-Nazi extremists
1987,0,0,0,0,0,0,0,0,0,0,Red Brigades
1987,1,0,1,0,0,0,0,0,0,0,First of October Antifascist Resistance Group (GRAPO)
1987,222,133,38,10,14,1,24,1,0,1,Other
1988,265,166,70,13,13,2,1,0,0,0,All
1988,133,83,35,8,6,1,0,0,0,0,Irish Republican Army (IRA)
1988,82,56,13,4,7,1,1,0,0,0,Basque Fatherland and Freedom (ETA)
1988,27,25,2,0,0,0,0,0,0,0,Corsican National Liberation Front (FLNC)
1988,0,0,0,0,0,0,0,0,0,0,Donetsk People's Republic
1988,4,1,2,1,0,0,0,0,0,0,Protestant extremists
1988,0,0,0,0,0,0,0,0,0,0,Chechen Rebels
1988,6,0,6,0,0,0,0,0,0,0,Ulster Volunteer Force (UVF)
1988,7,0,7,0,0,0,0,0,0,0,Ulster Freedom Fighters (UFF)
1988,0,0,0,0,0,0,0,0,0,0,Neo-Nazi extremists
1988,2,1,1,0,0,0,0,0,0,0,Red Brigades
1988,4,0,4,0,0,0,0,0,0,0,First of October Antifascist Resistance Group (GRAPO)
1988,226,148,27,12,37,1,1,0,0,0,Other
1989,275,157,75,14,26,3,0,0,0,0,All
1989,124,73,38,10,1,2,0,0,0,0,Irish Republican Army (IRA)
1989,126,79,20,2,24,1,0,0,0,0,Basque Fatherland and Freedom (ETA)
1989,4,3,0,0,1,0,0,0,0,0,Corsican National Liberation Front (FLNC)
1989,0,0,0,0,0,0,0,0,0,0,Donetsk People's Republic
1989,6,2,4,0,0,0,0,0,0,0,Protestant extremists
1989,0,0,0,0,0,0,0,0,0,0,Chechen Rebels
1989,6,0,5,1,0,0,0,0,0,0,Ulster Volunteer Force (UVF)
1989,3,0,3,0,0,0,0,0,0,0,Ulster Freedom Fighters (UFF)
1989,1,0,1,0,0,0,0,0,0,0,Neo-Nazi extremists
1989,1,0,0,1,0,0,0,0,0,0,Red Brigades
1989,4,0,4,0,0,0,0,0,0,0,First of October Antifascist Resistance Group (GRAPO)
1989,182,100,29,11,37,2,1,0,0,2,Other
1990,234,131,85,11,2,3,1,0,1,0,All
1990,107,61,36,7,0,3,0,0,0,0,Irish Republican Army (IRA)
1990,77,49,26,2,0,0,0,0,0,0,Basque Fatherland and Freedom (ETA)
1990,15,10,2,0,2,0,0,0,1,0,Corsican National Liberation Front (FLNC)
1990,0,0,0,0,0,0,0,0,0,0,Donetsk People's Republic
1990,8,0,7,1,0,0,0,0,0,0,Protestant extremists
1990,0,0,0,0,0,0,0,0,0,0,Chechen Rebels
1990,9,0,8,1,0,0,0,0,0,0,Ulster Volunteer Force (UVF)
1990,3,0,3,0,0,0,0,0,0,0,Ulster Freedom Fighters (UFF)
1990,1,0,0,0,0,0,1,0,0,0,Neo-Nazi extremists
1990,1,1,0,0,0,0,0,0,0,0,Red Brigades
1990,13,10,3,0,0,0,0,0,0,0,First of October Antifascist Resistance Group (GRAPO)
1990,207,121,36,20,27,1,0,1,0,1,Other
1991,378,143,92,29,105,3,5,1,0,0,All
1991,202,60,36,12,91,3,0,0,0,0,Irish Republican Army (IRA)
1991,85,60,18,7,0,0,0,0,0,0,Basque Fatherland and Freedom (ETA)
1991,21,19,1,1,0,0,0,0,0,0,Corsican National Liberation Front (FLNC)
1991,0,0,0,0,0,0,0,0,0,0,Donetsk People's Republic
1991,22,0,20,2,0,0,0,0,0,0,Protestant extremists
1991,0,0,0,0,0,0,0,0,0,0,Chechen Rebels
1991,2,0,2,0,0,0,0,0,0,0,Ulster Volunteer Force (UVF)
1991,24,1,10,2,11,0,0,0,0,0,Ulster Freedom Fighters (UFF)
1991,19,0,5,5,3,0,5,1,0,0,Neo-Nazi extremists
1991,0,0,0,0,0,0,0,0,0,0,Red Brigades
1991,3,3,0,0,0,0,0,0,0,0,First of October Antifascist Resistance Group (GRAPO)
1991,389,230,31,35,56,8,19,3,3,4,Other
1992,450,189,81,48,102,1,26,2,0,1,All
1992,183,106,27,18,31,0,0,0,0,1,Irish Republican Army (IRA)
1992,48,26,14,5,3,0,0,0,0,0,Basque Fatherland and Freedom (ETA)
1992,47,46,0,0,0,1,0,0,0,0,Corsican National Liberation Front (FLNC)
1992,0,0,0,0,0,0,0,0,0,0,Donetsk People's Republic
1992,16,0,15,1,0,0,0,0,0,0,Protestant extremists
1992,0,0,0,0,0,0,0,0,0,0,Chechen Rebels
1992,8,0,8,0,0,0,0,0,0,0,Ulster Volunteer Force (UVF)
1992,19,1,12,0,6,0,0,0,0,0,Ulster Freedom Fighters (UFF)
1992,123,5,5,23,62,0,26,2,0,0,Neo-Nazi extremists
1992,0,0,0,0,0,0,0,0,0,0,Red Brigades
1992,6,5,0,1,0,0,0,0,0,0,First of October Antifascist Resistance Group (GRAPO)
1992,404,155,60,61,67,9,40,9,0,3,Other
1993,0,0,0,0,0,0,0,0,0,0,No_attacks
