Longitude,Latitude,Hour,Date,Location,Full_Time
-73.856146091,40.687140512,22,01/01/2016,INSIDE,22:55:00
-73.90132352399999,40.883927913,4,01/04/2016,OUTSIDE,04:25:00
-73.84560379199999,40.873601668,11,01/04/2016,INSIDE,11:00:00
-73.938614149,40.674601815,8,01/06/2016,OUTSIDE,08:21:00
-73.925945955,40.66156215,23,01/09/2016,INSIDE,23:22:00
-73.930623478,40.683276253,3,01/10/2016,INSIDE,03:32:00
-74.006944997,40.676231908000005,22,01/10/2016,INSIDE,22:06:00
-73.837065184,40.676487297,7,01/11/2016,INSIDE,07:40:00
-73.89458817,40.68190669,9,01/11/2016,OUTSIDE,09:08:00
-73.920784329,40.679907551999996,13,01/11/2016,INSIDE,13:29:00
-73.894042144,40.66475956,14,01/13/2016,OUTSIDE,14:48:00
-74.230271459,40.548991392,14,01/14/2016,INSIDE,14:36:00
-74.120479003,40.606404745999995,0,01/16/2016,INSIDE,00:40:00
-73.894822924,40.661079525,15,01/16/2016,OUTSIDE,15:15:00
-73.99982505,40.576124128000004,21,01/17/2016,OUTSIDE,21:17:00
-73.948196631,40.706860328000005,16,01/20/2016,OUTSIDE,16:35:00
-73.892895732,40.857922634,20,01/21/2016,INSIDE,20:30:00
-73.878556569,40.684792115,9,01/22/2016,INSIDE,09:07:00
-74.001900465,40.644590276,19,01/23/2016,INSIDE,19:54:00
-73.922314872,40.811393119,16,01/24/2016,INSIDE,16:07:00
-73.764700204,40.596213981999995,10,01/27/2016,INSIDE,10:50:00
-73.93814501199999,40.803393591,23,01/27/2016,INSIDE,23:40:00
-73.792130675,40.750331537,21,02/05/2016,OUTSIDE,21:35:00
-73.925435892,40.827668623,19,02/05/2016,OUTSIDE,19:15:00
-73.868944957,40.853064489,2,02/08/2016,INSIDE,02:21:00
-74.14661153,40.608391809000004,8,02/10/2016,INSIDE,08:54:00
-74.14661153,40.608391809000004,8,02/10/2016,INSIDE,08:54:00
-74.14661153,40.608391809000004,8,02/10/2016,INSIDE,08:54:00
-73.88830716,40.662692805,21,02/11/2016,INSIDE,21:39:00
-73.941975939,40.817503461,3,02/13/2016,INSIDE,03:00:00
-73.9017029,40.642006611999996,17,02/13/2016,OUTSIDE,17:45:00
-74.00749944,40.637483796,21,02/15/2016,OUTSIDE,21:20:00
-73.924533616,40.65149337,18,02/15/2016,OUTSIDE,18:50:00
-73.927993087,40.685077953000004,19,02/16/2016,OUTSIDE,19:20:00
-74.134282972,40.636744136,15,02/17/2016,OUTSIDE,15:00:00
-74.08315718899999,40.608883423,22,02/21/2016,INSIDE,22:03:00
-73.91476613,40.810328321,16,02/22/2016,OUTSIDE,16:20:00
-73.896254478,40.667629873,17,02/25/2016,INSIDE,17:10:00
-73.900591356,40.853587401,20,03/01/2016,OUTSIDE,20:00:00
-74.121501323,40.600205912,0,03/04/2016,INSIDE,00:13:00
-73.849642388,40.820979933000004,6,03/04/2016,INSIDE,06:01:00
-73.91045017,40.745222604,1,03/05/2016,OUTSIDE,01:45:00
-73.766488035,40.699693597,19,03/06/2016,OUTSIDE,19:20:00
-73.911443572,40.768940729,14,03/06/2016,INSIDE,14:55:00
-73.924206908,40.812190348,7,03/07/2016,INSIDE,07:50:00
-73.920308429,40.860928316,4,03/09/2016,OUTSIDE,04:20:00
-73.935255912,40.851111636,21,03/09/2016,INSIDE,21:57:00
-74.094684252,40.590091840999996,2,03/10/2016,INSIDE,02:06:00
-73.958198788,40.671657216999996,23,03/10/2016,OUTSIDE,23:30:00
-73.758149574,40.692830900000004,20,03/11/2016,OUTSIDE,20:45:00
-74.162630773,40.586104414,12,03/12/2016,INSIDE,12:20:00
-74.005269715,40.64480152,20,03/13/2016,INSIDE,20:23:00
-73.863853651,40.880398548,22,03/13/2016,OUTSIDE,22:07:00
-73.887299705,40.631766311999996,14,03/14/2016,INSIDE,14:39:00
-73.968377423,40.766406832,19,03/16/2016,INSIDE,19:44:00
-73.951087574,40.802620306,20,03/16/2016,OUTSIDE,20:53:00
-73.866536043,40.823180031999996,15,03/17/2016,OUTSIDE,15:00:00
-73.906344446,40.811112268,2,03/18/2016,OUTSIDE,02:58:00
-73.807384888,40.673567651999996,1,03/19/2016,INSIDE,01:50:00
-74.163427185,40.633486765,18,03/24/2016,OUTSIDE,18:11:00
-74.163427185,40.633486765,18,03/24/2016,OUTSIDE,18:11:00
-73.888388621,40.67432526,17,03/24/2016,INSIDE,17:07:00
-73.94119981600001,40.796341237,16,03/25/2016,OUTSIDE,16:45:00
-73.99092661,40.574825477,23,04/01/2016,OUTSIDE,23:40:00
-73.99080140699999,40.725980641,14,04/01/2016,INSIDE,14:10:00
-73.958538808,40.658196944000004,5,04/03/2016,OUTSIDE,05:50:00
-73.996479956,40.661821983,9,04/04/2016,OUTSIDE,09:10:00
-73.893706303,40.857418359,22,04/08/2016,OUTSIDE,22:13:00
-73.896774703,40.739095849,3,04/09/2016,OUTSIDE,03:03:00
-73.908552085,40.816068266,0,04/10/2016,INSIDE,00:05:00
-73.950285241,40.783898154,1,04/12/2016,OUTSIDE,01:15:00
-73.89167337800001,40.665114175999996,22,04/13/2016,INSIDE,22:55:00
-74.118653127,40.636818966999996,2,04/14/2016,INSIDE,02:34:00
-73.97781979,40.727606514,22,04/14/2016,OUTSIDE,22:44:00
-73.943407506,40.833450977,0,04/15/2016,OUTSIDE,00:02:00
-73.97426085800001,40.740824511,1,04/15/2016,INSIDE,01:00:00
-73.76749538600001,40.703499897,5,04/16/2016,OUTSIDE,05:45:00
-73.93271089,40.801392385999996,2,04/17/2016,INSIDE,02:11:00
-73.86762631100001,40.816366145,22,04/17/2016,INSIDE,22:32:00
-73.934930327,40.847688805,6,04/18/2016,INSIDE,06:17:00
-73.900050398,40.869588539,1,04/19/2016,INSIDE,01:03:00
-73.919233753,40.686082215,22,04/19/2016,OUTSIDE,22:40:00
-73.925616087,40.689097532,15,04/21/2016,INSIDE,15:22:00
-73.908803531,40.835577916999995,6,04/23/2016,INSIDE,06:44:00
-73.898794425,40.872845399,15,04/24/2016,INSIDE,15:08:00
-73.913089739,40.699837274000004,11,04/26/2016,INSIDE,11:49:00
-73.893331855,40.820411063,22,04/27/2016,OUTSIDE,22:00:00
-73.893447414,40.861063085,4,04/28/2016,INSIDE,04:14:00
-73.893848712,40.663996333,10,04/29/2016,OUTSIDE,10:30:00
-73.934900975,40.578510134,10,05/02/2016,OUTSIDE,10:22:00
-73.915596087,40.836678228000004,10,05/03/2016,INSIDE,10:00:00
-73.886592131,40.81493989,5,05/04/2016,OUTSIDE,05:56:00
-73.792740591,40.696979876,21,05/06/2016,OUTSIDE,21:13:00
-73.91801901,40.817755155,23,05/07/2016,OUTSIDE,23:15:00
-73.88151172399999,40.671411663,2,05/08/2016,OUTSIDE,02:28:00
-73.908018925,40.689491039,0,05/08/2016,OUTSIDE,00:43:00
-73.901352508,40.857082061999996,20,05/09/2016,OUTSIDE,20:40:00
-73.907277131,40.818413984,5,05/11/2016,INSIDE,05:05:00
-73.88331168100001,40.868587481,19,05/11/2016,INSIDE,19:02:00
-73.911108193,40.841694933,22,05/11/2016,INSIDE,22:50:00
-73.91262722399999,40.637223031,22,05/12/2016,OUTSIDE,22:09:00
-73.958000222,40.654952417,5,05/14/2016,INSIDE,05:25:00
-74.130417978,40.5580167,10,05/14/2016,INSIDE,10:27:00
-73.815105671,40.844350414000004,1,05/17/2016,INSIDE,01:37:00
-73.919937382,40.655621161999996,23,05/18/2016,OUTSIDE,23:51:00
-73.94960900699999,40.642043072,19,05/18/2016,OUTSIDE,19:35:00
-74.00240969,40.676064661,3,05/19/2016,OUTSIDE,03:08:00
-73.75818135,40.684069625,19,05/19/2016,OUTSIDE,19:17:00
-73.86323458,40.859639663,17,05/19/2016,OUTSIDE,17:04:00
-74.164483967,40.638335307,7,05/20/2016,OUTSIDE,07:38:00
-73.988054214,40.734983188,22,05/25/2016,INSIDE,22:15:00
-73.75484779899999,40.605163421,4,05/26/2016,OUTSIDE,04:10:00
-73.919045385,40.829363293,21,05/26/2016,INSIDE,21:50:00
-73.847271758,40.887313634,5,05/27/2016,OUTSIDE,05:30:00
-73.98048752300001,40.685650525999996,6,05/28/2016,INSIDE,06:58:00
-73.88417431,40.852841995,1,05/29/2016,OUTSIDE,01:29:00
-73.948267625,40.638614237,10,05/29/2016,OUTSIDE,10:16:00
-73.888809888,40.854120099,21,05/30/2016,INSIDE,21:44:00
-73.93233809,40.670667775,1,05/31/2016,OUTSIDE,01:39:00
-73.942377197,40.637804468,17,05/31/2016,INSIDE,17:56:00
-73.949430815,40.696493892,22,06/01/2016,OUTSIDE,22:38:00
-73.976342426,40.722273155,1,06/03/2016,OUTSIDE,01:52:00
-73.965804097,40.708909009,5,06/04/2016,OUTSIDE,05:50:00
-73.936136211,40.679670066,0,06/05/2016,INSIDE,00:36:00
-73.923942878,40.670206898,4,06/05/2016,OUTSIDE,04:48:00
-73.999543473,40.693065804,21,06/06/2016,OUTSIDE,21:34:00
-73.93844593,40.684998930999996,21,06/07/2016,OUTSIDE,21:04:00
-73.906482233,40.846741539,21,06/11/2016,OUTSIDE,21:39:00
-73.90726130600001,40.816805565,22,06/11/2016,OUTSIDE,22:15:00
-73.897877215,40.820261474,23,06/11/2016,OUTSIDE,23:35:00
-73.88151172399999,40.671411663,2,06/12/2016,OUTSIDE,02:58:00
-73.864353209,40.745435545999996,19,06/12/2016,INSIDE,19:15:00
-73.8614443,40.886052491,6,06/15/2016,INSIDE,06:40:00
-73.912556632,40.680096471999995,17,06/15/2016,OUTSIDE,17:54:00
-73.922538001,40.666231521,22,06/15/2016,INSIDE,22:27:00
-73.845738305,40.786006915,18,06/15/2016,OUTSIDE,18:12:00
-73.98169156899999,40.69969571,18,06/15/2016,OUTSIDE,18:21:00
-73.910442906,40.847277155,23,06/17/2016,OUTSIDE,23:18:00
-73.89485635,40.825100443000004,3,06/18/2016,OUTSIDE,03:27:00
-73.86709561100001,40.680494853,14,06/19/2016,INSIDE,14:26:00
-73.895006204,40.860655553,18,06/19/2016,INSIDE,18:25:00
-73.864958422,40.827871665,16,06/20/2016,OUTSIDE,16:52:00
-73.825563635,40.872596004,16,06/23/2016,INSIDE,16:42:00
-73.906195082,40.671025464,22,06/23/2016,OUTSIDE,22:48:00
-73.94040458100001,40.81725838,23,06/23/2016,OUTSIDE,23:17:00
-73.958293685,40.669788059,8,06/26/2016,OUTSIDE,08:15:00
-73.81915607100001,40.709186497,0,06/26/2016,OUTSIDE,00:01:00
-73.896646458,40.66357893,21,06/29/2016,OUTSIDE,21:45:00
-73.921495901,40.675727746,22,06/29/2016,INSIDE,22:48:00
-73.908920209,40.850660186999995,21,06/29/2016,OUTSIDE,21:17:00
-73.86317105,40.670869804,2,06/30/2016,OUTSIDE,02:27:00
-74.01054859899999,40.620759553,19,06/30/2016,OUTSIDE,19:02:00
-73.900780541,40.814000554,16,07/03/2016,OUTSIDE,16:40:00
-73.91287755399999,40.691103256999995,17,07/03/2016,INSIDE,17:00:00
-73.89306867399999,40.676152237,0,07/04/2016,OUTSIDE,00:06:00
-73.905032007,40.842271968,2,07/04/2016,OUTSIDE,02:53:00
-73.767816313,40.682807656,14,07/04/2016,INSIDE,14:40:00
-73.950481913,40.801063787,2,07/05/2016,INSIDE,02:05:00
-73.833004197,40.88443116,2,07/09/2016,OUTSIDE,02:11:00
-73.957086365,40.680536156,0,07/10/2016,INSIDE,00:40:00
-73.826891092,40.682140409,0,07/15/2016,OUTSIDE,00:14:00
-73.90892519399999,40.67013835,4,07/15/2016,OUTSIDE,04:03:00
-73.90892519399999,40.67013835,4,07/15/2016,OUTSIDE,04:03:00
-73.864502585,40.815720251,2,07/16/2016,INSIDE,02:17:00
-73.914348014,40.764694063,4,07/17/2016,OUTSIDE,04:11:00
-73.94486962100001,40.651998977,2,07/17/2016,OUTSIDE,02:17:00
-73.773651622,40.672789843000004,12,07/18/2016,OUTSIDE,12:12:00
-74.006577149,40.67500776,20,07/19/2016,OUTSIDE,20:17:00
-73.920140835,40.819856355,23,07/19/2016,OUTSIDE,23:53:00
-73.945058895,40.689111202,1,07/20/2016,OUTSIDE,01:25:00
-73.975125947,40.695140908,0,07/21/2016,INSIDE,00:02:00
-73.913178032,40.839739531,6,07/21/2016,INSIDE,06:00:00
-74.02785231600001,40.618091468,19,07/22/2016,INSIDE,19:19:00
-73.822805246,40.750294976,12,07/22/2016,OUTSIDE,12:00:00
-73.927697229,40.831578538,1,07/23/2016,OUTSIDE,01:45:00
-73.86930540899999,40.870142434,2,07/25/2016,INSIDE,02:44:00
-73.907462791,40.845984791,5,07/25/2016,OUTSIDE,05:05:00
-73.907462791,40.845984791,5,07/25/2016,OUTSIDE,05:05:00
-73.793764553,40.692389705,21,07/25/2016,OUTSIDE,21:37:00
-73.831774379,40.764463103000004,23,07/27/2016,OUTSIDE,23:40:00
-73.923789039,40.681803475,1,07/30/2016,OUTSIDE,01:20:00
-73.926700862,40.738838819,7,07/30/2016,INSIDE,07:20:00
-73.809998125,40.736984449,19,08/01/2016,INSIDE,19:15:00
-73.92474482600001,40.68469984,1,08/02/2016,OUTSIDE,01:08:00
-73.885739479,40.842328579000004,17,08/02/2016,INSIDE,17:40:00
-73.853205037,40.65381516,23,08/02/2016,OUTSIDE,23:39:00
-73.850809958,40.836843178,2,08/03/2016,OUTSIDE,02:05:00
-73.95577682300001,40.649091471999995,22,08/03/2016,OUTSIDE,22:18:00
-74.075678037,40.64173826,1,08/04/2016,OUTSIDE,01:46:00
-73.869286157,40.668403866999995,20,08/04/2016,OUTSIDE,20:21:00
-73.938282477,40.623960368,19,08/04/2016,OUTSIDE,19:50:00
-73.939773355,40.660436625,9,08/07/2016,OUTSIDE,09:15:00
-73.912535702,40.674063439,1,08/07/2016,OUTSIDE,01:30:00
-73.9186305,40.805182009,23,08/08/2016,OUTSIDE,23:43:00
-73.889511247,40.869301715,1,08/09/2016,INSIDE,01:08:00
0.0,0.0,21,08/09/2016,OUTSIDE,21:03:00
-73.915234704,40.674993193,0,08/10/2016,OUTSIDE,00:31:00
-73.887507503,40.818407371,13,08/11/2016,INSIDE,13:29:00
-73.90804256199999,40.690654842,0,08/12/2016,OUTSIDE,00:51:00
-73.858592765,40.67941151,13,08/13/2016,OUTSIDE,13:45:00
-73.858592765,40.67941151,13,08/13/2016,OUTSIDE,13:45:00
-73.91818654800001,40.819596981,4,08/14/2016,OUTSIDE,04:38:00
-73.932141379,40.640790702,1,08/14/2016,OUTSIDE,01:50:00
-73.831612927,40.689819066999995,1,08/14/2016,INSIDE,01:59:00
-73.923216654,40.659114761,22,08/16/2016,OUTSIDE,22:24:00
-73.930574822,40.67459999,20,08/16/2016,OUTSIDE,20:14:00
-73.911328663,40.836266064,21,08/17/2016,OUTSIDE,21:20:00
-73.832478977,40.689567810999996,18,08/19/2016,INSIDE,18:07:00
-73.91747681,40.84711223,16,08/19/2016,INSIDE,16:13:00
-73.936720733,40.819778814,23,08/20/2016,OUTSIDE,23:44:00
-73.984064191,40.595792272,1,08/21/2016,INSIDE,01:33:00
-73.942942693,40.629597831,1,08/22/2016,OUTSIDE,01:15:00
-73.932083027,40.673341037,3,08/28/2016,OUTSIDE,03:40:00
-73.902615955,40.643506043,2,08/28/2016,OUTSIDE,02:11:00
-73.977462042,40.69726035,2,08/28/2016,OUTSIDE,02:23:00
-73.994427347,40.639163716,12,08/29/2016,OUTSIDE,12:20:00
-73.803872427,40.710739715,21,08/31/2016,OUTSIDE,21:15:00
-73.945849231,40.674986972,22,09/01/2016,OUTSIDE,22:27:00
-73.920737805,40.615912856,12,09/01/2016,OUTSIDE,12:29:00
-73.946103435,40.628089722,19,09/02/2016,INSIDE,19:30:00
-73.927184904,40.675646399,4,09/03/2016,INSIDE,04:02:00
-73.927184904,40.675646399,4,09/03/2016,INSIDE,04:02:00
-73.935432593,40.832941761,18,09/03/2016,OUTSIDE,18:23:00
-73.812428901,40.70284629,21,09/03/2016,OUTSIDE,21:25:00
-73.890520884,40.640366106,1,09/04/2016,OUTSIDE,01:00:00
-73.96243216100001,40.663133396999996,3,09/05/2016,OUTSIDE,03:49:00
-73.96017925,40.663341242,4,09/05/2016,OUTSIDE,04:14:00
-73.95198314,40.82294535,21,09/05/2016,INSIDE,21:50:00
-73.962400198,40.719840334000004,1,09/06/2016,OUTSIDE,01:28:00
-73.91539184,40.673324484,22,09/06/2016,OUTSIDE,22:23:00
-73.96278707,40.653674996,19,09/07/2016,OUTSIDE,19:40:00
-73.788052771,40.675309538,22,09/10/2016,OUTSIDE,22:12:00
-73.734864538,40.726529377,23,09/10/2016,OUTSIDE,23:42:00
-73.86168930699999,40.672674098,23,09/13/2016,OUTSIDE,23:53:00
-73.909136741,40.657743089,0,09/13/2016,OUTSIDE,00:42:00
-73.949095931,40.686395734,22,09/19/2016,OUTSIDE,22:17:00
-73.82694879600001,40.830798914,11,09/20/2016,OUTSIDE,11:00:00
-73.839795807,40.855961786,20,09/20/2016,INSIDE,20:56:00
-73.909688025,40.671168243000004,15,09/21/2016,OUTSIDE,15:11:00
-73.942389497,40.819718656999996,13,09/23/2016,OUTSIDE,13:50:00
-73.780915483,40.693702669000004,4,09/24/2016,INSIDE,04:40:00
-73.956385411,40.820663494,14,09/26/2016,INSIDE,14:23:00
-73.962469806,40.641068098000005,17,09/26/2016,INSIDE,17:45:00
-73.873261458,40.672585871,9,09/27/2016,INSIDE,09:35:00
-73.927011804,40.662518015,0,09/27/2016,INSIDE,00:37:00
-73.860333942,40.732876229,18,09/27/2016,INSIDE,18:30:00
-73.91351577100001,40.852381909,19,09/27/2016,OUTSIDE,19:27:00
-73.945859731,40.693140904,7,09/28/2016,INSIDE,07:24:00
-73.912862387,40.708227855,23,09/28/2016,INSIDE,23:26:00
-74.02246340399999,40.638667594,9,09/29/2016,OUTSIDE,09:00:00
-73.97491448,40.720450333,17,09/30/2016,INSIDE,17:35:00
-73.955865681,40.650957959,9,10/01/2016,INSIDE,09:40:00
-73.897076401,40.842803108000005,19,10/01/2016,INSIDE,19:25:00
-73.897076401,40.842803108000005,19,10/01/2016,INSIDE,19:25:00
-73.90622669,40.876743654,4,10/02/2016,OUTSIDE,04:15:00
-74.121181494,40.568827644,18,10/02/2016,INSIDE,18:25:00
-73.936252607,40.840783858,12,10/03/2016,OUTSIDE,12:54:00
-73.938214246,40.810524424,23,10/03/2016,OUTSIDE,23:52:00
-73.937491478,40.68773221,0,10/05/2016,INSIDE,00:07:00
-73.866472894,40.67278405,17,10/05/2016,INSIDE,17:58:00
-73.96267373100001,40.798285226,21,10/06/2016,INSIDE,21:27:00
-73.86470137399999,40.838778865,16,10/08/2016,INSIDE,16:34:00
-73.94199018399999,40.606351698000005,7,10/08/2016,INSIDE,07:45:00
-73.844630036,40.903468077,21,10/09/2016,INSIDE,21:14:00
-73.848069308,40.693415665,0,10/13/2016,INSIDE,00:47:00
-73.914248556,40.841944334000004,23,10/15/2016,OUTSIDE,23:30:00
-73.940537398,40.822262072,16,10/17/2016,OUTSIDE,16:32:00
-73.92161973600001,40.812699136999996,1,10/23/2016,OUTSIDE,01:50:00
-73.782447304,40.678469299999996,4,10/29/2016,OUTSIDE,04:15:00
-73.78431906,40.697233391,2,10/30/2016,OUTSIDE,02:13:00
-73.89205787,40.846278812,23,10/30/2016,OUTSIDE,23:40:00
-73.920393103,40.669372829000004,20,11/01/2016,OUTSIDE,20:49:00
-73.86620348699999,40.821455961999995,22,11/01/2016,OUTSIDE,22:40:00
-73.915383261,40.819320486,13,11/02/2016,OUTSIDE,13:25:00
-73.930051383,40.829952373000005,21,11/03/2016,OUTSIDE,21:14:00
-73.867194698,40.837129445,14,11/04/2016,OUTSIDE,14:45:00
-73.994536892,40.753532701,13,11/07/2016,INSIDE,13:20:00
-73.896646458,40.66357893,9,11/11/2016,INSIDE,09:28:00
-73.960843907,40.759150161,5,11/13/2016,INSIDE,05:30:00
-73.891862968,40.823876276,12,11/20/2016,INSIDE,12:30:00
-73.848497285,40.668529332,18,11/22/2016,INSIDE,18:25:00
-73.927430623,40.678435246,20,11/23/2016,OUTSIDE,20:30:00
-73.90817515100001,40.824798920999996,23,11/23/2016,OUTSIDE,23:59:00
-73.87846775199999,40.743417441999995,12,11/24/2016,OUTSIDE,12:15:00
-73.833872447,40.874180976,12,11/26/2016,INSIDE,12:00:00
-74.084955452,40.621066254,21,11/26/2016,OUTSIDE,21:07:00
-73.941710718,40.790325046999996,20,11/27/2016,INSIDE,20:30:00
-73.90158306100001,40.823423869,14,11/28/2016,OUTSIDE,14:50:00
-73.937527165,40.849776217,23,11/28/2016,INSIDE,23:19:00
-73.86424849,40.667533426999995,0,11/30/2016,OUTSIDE,00:43:00
-73.835460637,40.69119702,2,11/30/2016,INSIDE,02:00:00
-73.905388469,40.667862819,10,11/30/2016,OUTSIDE,10:24:00
-73.837040057,40.841690923,19,12/01/2016,INSIDE,19:00:00
-73.913256606,40.837683801,20,12/03/2016,INSIDE,20:35:00
-73.91401678300001,40.626986011,21,12/04/2016,OUTSIDE,21:17:00
-73.820854715,40.689141332,0,12/05/2016,OUTSIDE,00:15:00
-73.916812154,40.638689107,15,12/07/2016,OUTSIDE,15:02:00
-73.947619211,40.799086317,1,12/09/2016,INSIDE,01:50:00
-73.952858808,40.703807407,0,12/11/2016,OUTSIDE,00:20:00
-73.802651938,40.669758105999996,12,12/11/2016,INSIDE,12:22:00
-73.907462791,40.845984791,20,12/11/2016,OUTSIDE,20:29:00
-73.915067287,40.679066318000004,18,12/13/2016,OUTSIDE,18:21:00
-73.892228964,40.820986429,20,12/13/2016,INSIDE,20:45:00
-73.944367164,40.809413199,18,12/14/2016,OUTSIDE,18:45:00
-73.98482044,40.753874924,2,12/17/2016,OUTSIDE,02:20:00
-73.92905355,40.65758692,15,12/18/2016,INSIDE,15:31:00
-73.936765755,40.806617895,18,12/19/2016,INSIDE,18:00:00
-73.888139806,40.83987167,20,12/20/2016,OUTSIDE,20:24:00
-73.929804249,40.646328278,12,12/25/2016,OUTSIDE,12:51:00
-74.080755533,40.624236771999996,12,12/26/2016,OUTSIDE,12:45:00
-73.948294253,40.832111106,8,12/26/2016,INSIDE,08:14:00
-73.948294253,40.832111106,8,12/26/2016,INSIDE,08:14:00
-73.9101166,40.837321839,0,12/30/2016,OUTSIDE,00:40:00
-73.955752145,40.648265282,1,12/31/2016,INSIDE,01:05:00
